code_length,line_count,avg_line_length,entropy,amsi_keyword_count,has_amsi_keyword,win32_api_count,has_virtualprotect,has_getprocaddress,has_loadlibrary,reflection_count,has_reflection,marshal_op_count,backtick_count,has_format_operator,char_cast_count,string_concat_count,plus_operator_density,has_base64,has_memory_patch_pattern,hex_byte_array,has_page_rwx,dllimport_count,has_add_type,has_registry_amsi,has_ps_downgrade,has_scriptblock_ast,has_hw_breakpoint,has_etw_tamper,has_download_cradle,has_clr_targeting,special_char_ratio,case_ratio,composite_risk,label,label_name,source_id,technique_name
55,1,55.0,4.389917440561371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.2571428571428571,0,0,Benign,BEN-066,Normal_Command
33,1,33.0,4.184862968552385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06060606060606061,0.2857142857142857,0,0,Benign,BEN-067,Normal_Command
67,1,67.0,4.302018842809594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08955223880597014,0.1956521739130435,0,0,Benign,BEN-068,Normal_Command
64,1,64.0,4.544758938909887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09375,0.18181818181818182,0,0,Benign,BEN-069,Normal_Command
26,1,26.0,3.657385276650178,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538461538464,0.25,0,0,Benign,BEN-070,Normal_Command
58,1,58.0,4.525939943986514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1724137931034483,0.16216216216216217,0,0,Benign,BEN-071,Normal_Command
39,1,39.0,4.214262795507958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.21428571428571427,0,0,Benign,BEN-072,Normal_Command
20,1,20.0,3.621928094887362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.26666666666666666,0,0,Benign,BEN-073,Normal_Command
18,1,18.0,3.7254805569978675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05555555555555555,0.21428571428571427,0,0,Benign,BEN-074,Normal_Command
21,1,21.0,3.6304126608739975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619047619047616,0.25,0,0,Benign,BEN-075,Normal_Command
19,1,19.0,3.7871439606981383,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05263157894736842,0.2857142857142857,0,0,Benign,BEN-076,Normal_Command
7,1,7.0,2.807354922057604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.5,0,0,Benign,BEN-077,Normal_Command
11,1,11.0,3.277613436819116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.0,0,0,Benign,BEN-078,Normal_Command
39,1,39.0,4.109138039864114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15384615384615385,0.034482758620689655,0,0,Benign,BEN-079,Normal_Command
71,1,71.0,4.475913459058832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056338028169014086,0.19230769230769232,0,0,Benign,BEN-080,Normal_Command
38,1,38.0,4.284001448099095,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07894736842105263,0.3333333333333333,0,0,Benign,BEN-081,Normal_Command
21,1,21.0,4.011365041826379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.3333333333333333,0,0,Benign,BEN-082,Normal_Command
19,1,19.0,3.536886723742167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05263157894736842,0.2,0,0,Benign,BEN-083,Normal_Command
23,1,23.0,3.327484781955842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13043478260869565,0.0,0,0,Benign,BEN-084,Normal_Command
11,1,11.0,3.0957952550009344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,Benign,BEN-085,Normal_Command
12,1,12.0,3.4182958340544896,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0.0,0,0,Benign,BEN-086,Normal_Command
13,1,13.0,3.5465935642949384,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,Benign,BEN-087,Normal_Command
